protocol_name,sheet_name,field_name,definition,field_type,format_text,unit,field_sheet_notes
oyster reef area and height,sample metadata,site_code,,,,,
oyster reef area and height,sample metadata,location_name,,,,,
oyster reef area and height,sample metadata,reef_id,,,,,
oyster reef area and height,sample metadata,data_collection_year,,,,,
oyster reef area and height,sample metadata,data_collection_month,,,,,
oyster reef area and height,sample metadata,data_collection_day,,,,,
oyster reef area and height,sample metadata,reef_area_sq_m,,,,,
oyster reef area and height,sample metadata,reef_area_method,,,,,
oyster reef area and height,sample metadata,data_entry_person,,,,,
oyster reef area and height,sample metadata,sample_metadata_notes,,,,,
oyster reef area and height,reef height data,site_code,,,,,
oyster reef area and height,reef height data,location_name,,,,,
oyster reef area and height,reef height data,reef_id,,,,,
oyster reef area and height,reef height data,data_collection_year,,,,,
oyster reef area and height,reef height data,data_collection_month,,,,,
oyster reef area and height,reef height data,data_collection_day,,,,,
oyster reef area and height,reef height data,point,,,,,
oyster reef area and height,reef height data,compass_direction,,,,,
oyster reef area and height,reef height data,unit,,,,,
oyster reef composition,sample metadata,site_code,,,,,
oyster reef composition,sample metadata,location_name,,,,,
oyster reef composition,sample metadata,reef_id,,,,,
oyster reef composition,sample metadata,transect,,,,,
oyster reef composition,sample metadata,data_collection_year,,,,,
oyster reef composition,sample metadata,data_collection_month,,,,,
oyster reef composition,sample metadata,data_collection_day,,,,,
oyster reef composition,sample metadata,data_entry_person,,,,,
oyster reef composition,sample metadata,sample_metadata_notes,,,,,
oyster reef composition,primary substrate data,site_code,,,,,
oyster reef composition,primary substrate data,location_name,,,,,
oyster reef composition,primary substrate data,reef_id,,,,,
oyster reef composition,primary substrate data,transect,,,,,
oyster reef composition,primary substrate data,data_collection_year,,,,,
oyster reef composition,primary substrate data,data_collection_month,,,,,
oyster reef composition,primary substrate data,data_collection_day,,,,,
oyster reef composition,primary substrate data,quadrat,,,,,
oyster reef composition,primary substrate data,box_count,,,,,
oyster reef composition,primary substrate data,cultch_count,,,,,
oyster reef composition,primary substrate data,live_count,,,,,
oyster reef composition,primary substrate data,sediment_count,,,,,
oyster reef composition,primary substrate data,other_count,,,,,
oyster reef composition,primary substrate data,primary_substrate_notes,,,,,
oyster reef composition,canopy taxa,site_code,,,,,
oyster reef composition,canopy taxa,location_name,,,,,
oyster reef composition,canopy taxa,reef_id,,,,,
oyster reef composition,canopy taxa,transect,,,,,
oyster reef composition,canopy taxa,data_collection_year,,,,,
oyster reef composition,canopy taxa,data_collection_month,,,,,
oyster reef composition,canopy taxa,data_collection_day,,,,,
oyster reef composition,canopy taxa,quadrat,,,,,
oyster reef composition,canopy taxa,scientific_name,,,,,
oyster reef composition,canopy taxa,identification_notes,,,,,
oyster reef composition,canopy taxa,abundance,,,,,
oyster reef composition,canopy taxa,canopy_taxa_notes,,,,,
oyster density and size frequency,sample metadata,site_code,,,,,
oyster density and size frequency,sample metadata,location_name,,,,,
oyster density and size frequency,sample metadata,reef_id,,,,,
oyster density and size frequency,sample metadata,transect,,,,,
oyster density and size frequency,sample metadata,data_collection_year,,,,,
oyster density and size frequency,sample metadata,data_collection_month,,,,,
oyster density and size frequency,sample metadata,data_collection_day,,,,,
oyster density and size frequency,sample metadata,data_entry_person,,,,,
oyster density and size frequency,sample metadata,sample_metadata_notes,,,,,
oyster density and size frequency,sample height,site_code,,,,,
oyster density and size frequency,sample height,location_name,,,,,
oyster density and size frequency,sample height,reef_id,,,,,
oyster density and size frequency,sample height,transect,,,,,
oyster density and size frequency,sample height,data_collection_year,,,,,
oyster density and size frequency,sample height,data_collection_month,,,,,
oyster density and size frequency,sample height,data_collection_day,,,,,
oyster density and size frequency,sample height,quadrat,,,,,
oyster density and size frequency,sample height,scientific_name,,,,,
oyster density and size frequency,sample height,identification_notes,,,,,
oyster density and size frequency,sample height,oyster_type,,,,,
oyster density and size frequency,sample height,height_mm,,,,,
oyster density and size frequency,sample height,sample_height_notes,,,,,
oyster density and size frequency,sample frequency,site_code,,,,,
oyster density and size frequency,sample frequency,location_name,,,,,
oyster density and size frequency,sample frequency,reef_id,,,,,
oyster density and size frequency,sample frequency,transect,,,,,
oyster density and size frequency,sample frequency,data_collection_year,,,,,
oyster density and size frequency,sample frequency,data_collection_month,,,,,
oyster density and size frequency,sample frequency,data_collection_day,,,,,
oyster density and size frequency,sample frequency,quadrat,,,,,
